AMBTEMP,COUGM3,NO2UGM3,O3UGM3,PM25,RAINFALL,SO2UGM3,UV_INDEX,test_clasiffier
15.3,0.2,26.1,31.3,4.81,0,-1.2,0.002153811,1
14.5,0.2,28.1,29.1,6.01,0,-1,0,2
14,0.1,21.1,33.6,6.63,0,1.6,0,3
13.6,0,13.2,39.7,5.07,0,-0.3,0,1
13.4,0,14.8,36.5,4.72,0,-1.8,0,2
13.2,0,15.8,34.5,5.22,0,-1,0,3
13.1,-0.1,6.4,42.6,4.54,0,-0.9,0,1
12.7,-0.1,4.9,41.6,4.83,0,-1.5,0,2
12.6,-0.1,3.3,44.9,4.82,0,-1.5,0,3
12.4,-0.1,1.5,45.5,4.6,0,-1.5,0,1
12.3,-0.2,1.5,49.3,4.1,0,-1.5,0,2
12.1,-0.1,7.1,42.9,4.38,0,-1.7,0,3
11.9,0.3,34.1,7.8,5.36,0,0.3,0.014505226,1
12.6,0.5,36.3,12.3,6.67,0,0,0.320486,2
13.4,0.4,32.1,19.8,7.02,0,0.1,1.501834516,3
14.6,0.1,18.3,37.3,5.25,0,-1.2,2.99978027,1
15.1,0,15.2,41,4.65,0,-1.3,3.359121462,2
15.4,0.1,14.8,43.1,5.94,0,-1.3,4.235334173,3
16.6,0,13.1,45.3,4.76,0,-1.7,4.61180705,1
16.4,0,10.9,45.8,4.84,0,-1.5,4.090344472,2
16.2,0,12.9,41,5.18,0,-1.5,2.135520714,3
15.8,0,16.2,38.1,5.22,0,-1.1,1.724353399,1
15.4,0,17.6,34.6,4.72,0,-1.2,0.78438468,2
15.3,0.1,20,30.4,5.31,0,-1.4,0.231459907,3
14.7,0.3,29.9,19,6.35,0,-1.1,0.000671015,1
13.9,0.3,32,15.1,6.95,0,-1.1,0,2
13.5,0.4,31.9,13.8,7.44,0,-0.6,0,3
13.2,0.1,20.4,22.5,8.74,0,-1.3,0,1
13,0,13.3,29.4,7.61,0,-2,0,2
